unique_id_person,file,acronym,person_code,sex,age,schooling,total_nonstandard_verb_agreement,total_nonstandard_verb_conjugation,total_count_negation,total_non_standard_plural,count_apheresis,count_mo_intensifier,count_rhotacism,count_senhor_senhora,count_diminutive,count_foreign_words,count_prepositions,count_pronouns,count_interjections
bfamcv01EVN3,bfamcv01,EVN,bfamcv01EVN,male,A,2,3.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,17.0
bfamcv01GIL1,bfamcv01,GIL,"bfamcv01GIL,bfamcv12GIL",male,A,2,8.0,4.0,1.0,5.0,10.0,0.0,0.0,0.0,0.0,4.0,10.0,3.0,18.0
bfamcv01LEO0,bfamcv01,LEO,bfamcv01LEO,male,A,2,7.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,5.0
bfamcv01LUI2,bfamcv01,LUI,bfamcv01LUI,male,A,2,0.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,2.0,7.0
bfamcv02JAE6,bfamcv02,JAE,bfamcv02JAE,female,D,2,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,9.0
bfamcv02RUT4,bfamcv02,RUT,bfamcv02RUT,female,C,2,7.0,8.0,14.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,18.0,5.0,31.0
bfamcv02TER5,bfamcv02,TER,bfamcv02TER,female,C,1,6.0,6.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,50.0
bfamcv03CAR7,bfamcv03,CAR,"bfamcv03CAR,bfamcv05CAR,bfamcv10CAR,bfamcv11CAR,bpubcv02CAR",male,B,3,11.0,35.0,33.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,55.0,15.0,96.0
bfamcv03CEL10,bfamcv03,CEL,"bfamcv03CEL,bfamcv05CEL",male,B,1,2.0,14.0,6.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,10.0,4.0,55.0
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
bpubdl11LUC466,bpubdl11,LUC,bpubdl11LUC,male,A,3,2.0,1.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,15.0
bpubdl11MAR467,bpubdl11,MAR,bpubdl11MAR,male,M,1,12.0,2.0,1.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0,7.0,3.0,24.0
bpubmn01SHE469,bpubmn01,SHE,bpubmn01SHE,female,C,3,15.0,4.0,3.0,0.0,28.0,0.0,0.0,0.0,0.0,2.0,33.0,3.0,9.0
bpubmn02ANL470,bpubmn02,ANL,"bpubmn02ANL,bpubmn03ANL",female,C,2,10.0,16.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,19.0,1.0,1.0
bpubmn03ANG471,bpubmn03,ANG,bpubmn03ANG,female,C,3,4.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
bpubmn04AND473,bpubmn04,AND,bpubmn04AND,female,C,3,28.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,2.0
bpubmn05SOR476,bpubmn05,SOR,bpubmn05SOR,female,A,2,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
bpubmn06LOU477,bpubmn06,LOU,bpubmn06LOU,male,C,1,11.0,10.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,26.0,3.0,11.0
bpubmn07REC479,bpubmn07,REC,bpubmn07REC,male,B,3,25.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0
bpubmn10DIA489,bpubmn10,DIA,bpubmn10DIA,female,A,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
bpubmn11SAN490,bpubmn11,SAN,bpubmn11SAN,female,C,3,30.0,3.0,2.0,13.0,9.0,0.0,0.0,0.0,0.0,2.0,27.0,0.0,10.0
bpubmn12CES492,bpubmn12,CES,bpubmn12CES,male,B,2,17.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,2.0
bpubmn13JAN494,bpubmn13,JAN,bpubmn13JAN,male,D,3,20.0,1.0,5.0,0.0,19.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,1.0
bpubmn14NAT496,bpubmn14,NAT,bpubmn14NAT,male,D,3,32.0,2.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,4.0
